title,purpose,category,officer_role,officer_name,officer_party
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Victoria Prentis,Conservative
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Patricia Gibson,Scottish National Party
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Lord Black of Brentwood,Conservative
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Lord Goddard of Stockport,Liberal Democrat
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Ross Thomson,Conservative
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Mrs Sheryll Murray,Conservative
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject,Vice Chair,Rehman Chishti,Conservative
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Chair & Registered Contact,Ruth Smeeth,Labour
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Treasurer,Jeremy Lefroy,Conservative
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Vice Chair,Angela Smith,Liberal Democrat
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Vice-Chair (Lords),Baroness Golding,Labour
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Treasurer,Jack Brereton,Conservative
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject,Secretary,Gareth Snell,Labour (Co-op)
All-Party Parliamentary Group for Challenger Banks and Building Societies,"To review the regulations of the banking and financial sector and to promote fair competition, removing entry barriers and encouraging diversity of service.",Subject,Vice Chair,Baroness Kramer,Liberal Democrat
All-Party Parliamentary Group for Challenger Banks and Building Societies,"To review the regulations of the banking and financial sector and to promote fair competition, removing entry barriers and encouraging diversity of service.",Subject,Vice Chair,Baroness Drake,Labour
All-Party Parliamentary Group for Challenger Banks and Building Societies,"To review the regulations of the banking and financial sector and to promote fair competition, removing entry barriers and encouraging diversity of service.",Subject,Vice Chair,Damien Moore,Conservative
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Chair & Registered Contact,Mrs Helen Grant,Conservative
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Vice Chair,Baroness Bonham-Carter of Yarnbury,Liberal Democrat
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Vice Chair,Luciana Berger,Liberal Democrat
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Vice Chair,John Grogan,Labour
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject,Vice Chair,Dr Lisa Cameron,Scottish National Party
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Chair & Registered Contact,Susan Elan Jones,Labour
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Co-Chair,Baroness Pitkeathley,Labour
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Co-Chair,Lord Hodgson of Astley Abbotts,Conservative
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Vice-Chair,Martin Docherty-Hughes,Scottish National Party
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject,Treasurer,Lord Shinkwin,Conservative
All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Subject,Chair & Registered Contact,Sir Edward Davey,Liberal Democrat
All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Subject,Co Vice Chair,Albert Owen,Labour
All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Subject,Co Vice Chair,Luke Hall,Conservative
All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Subject,Vice Secretary,Sir Peter Bottomley,Conservative
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Subject,Chair & Registered Contact,Angela Smith,Liberal Democrat
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Subject,Secretary,Alex Cunningham,Labour
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Subject,Treasurer,Lord De Mauley,Conservative
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Subject,Vice Chair,Martyn Day,Scottish National Party
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject,Chair & Registered Contact,Sir Mike Penning,Conservative
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject,Secretary,Stephen McPartland,Conservative
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject,Vice Chair,Vernon Coaker,Labour
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject,Vice Chair,Tim Farron,Liberal Democrat
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject,Vice Chair,Mr Nigel Evans,Conservative
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Chair & Registered Contact,Mr Chris Leslie,The Independent Group for Change
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Co-Chair,Baroness McIntosh of Pickering,Conservative
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Officer,Stephen Pound,Labour
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Officer,The Earl of Listowel,Crossbench
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Officer,Lee Rowley,Conservative
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject,Officer,Mike Kane,Labour
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Chair & Registered Contact,Tulip Siddiq,Labour
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Vice Chair,Conor McGinn,Labour
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Officer,Julian Sturdy,Conservative
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Officer,Neil Gray,Scottish National Party
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Officer,Yasmin Qureshi,Labour
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject,Officer,Ruth George,Labour
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Chair & Registered Contact,Tim Loughton,Conservative
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Co-Chair,Baroness Howarth of Breckland,Crossbench
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Vice-Chair,Baroness Massey of Darwen,Labour
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Vice-Chair,Baroness Walmsley,Liberal Democrat
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Vice-Chair,Baroness Tyler of Enfield,Liberal Democrat
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Vice-Chair,Sarah Champion,Labour
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Secretary,Alex Burghart,Conservative
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject,Treasurer,The Earl of Listowel,Crossbench
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Chair & Registered Contact,Carolyn Harris,Labour
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Vice Chair,Baroness Gale,Labour
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Vice Chair,Lord German,Liberal Democrat
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Treasurer,Liz Saville Roberts,Plaid Cymru
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject,Secretary,Jessica Morden,Labour
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Chair & Registered Contact,Liam Byrne,Labour
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Vice Chair,Fiona Bruce,Conservative
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Vice Chair,Caroline Flint,Labour
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Vice Chair,Baroness Hollins,Crossbench
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Secretary,Mr Gavin Shuker,Independent
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject,Treasurer,The Earl of Listowel,Crossbench
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Chair & Registered Contact,Dr Caroline Johnson,Conservative
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Co-Chair,Catherine McKinnell,Labour
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Vice Chair,Jim Shannon,Democratic Unionist Party
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Vice Chair,Sarah Champion,Labour
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Vice Chair,David Simpson,Democratic Unionist Party
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Vice Chair,Liz McInnes,Labour
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject,Vice Chair,Tim Farron,Liberal Democrat
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Chair & Registered Contact,Thangam Debbonaire,Labour
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Vice Chair,Jack Lopresti,Conservative
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Vice Chair,Dr Lisa Cameron,Scottish National Party
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Officer,Karen Lee,Labour
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Officer,Mrs Sharon Hodgson,Labour
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject,Officer,Andrew Selous,Conservative
All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Subject,Chair & Registered Contact,Julie Elliott,Labour
All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Subject,Co-Chair,Baroness Benjamin,Liberal Democrat
All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Subject,Officer,Baroness McIntosh of Hudnall,Labour
All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Subject,Officer,Andrew Rosindell,Conservative
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Chair & Registered Contact,Nick Boles,Independent
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Co-Chair,Karin Smyth,Labour
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Baroness Jay of Paddington,Labour
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Paul Blomfield,Labour
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Crispin Blunt,Conservative
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Mr Alistair Carmichael,Liberal Democrat
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Sarah Champion,Labour
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Kevin Hollinrake,Conservative
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Caroline Lucas,Green Party
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Vice Chair,Tommy Sheppard,Scottish National Party
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject,Secretary,Jim Fitzpatrick,Labour
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject,Chair & Registered Contact,Sue Hayman,Labour
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject,Treasurer,Mr Mark Prisk,Conservative
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject,Vice Chair,Viscount Bridgeman,Conservative
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject,Vice Chair,Lord German,Liberal Democrat
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject,Vice Chair,Dame Caroline Spelman,Conservative
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Chair & Registered Contact,Sir Gary Streeter,Conservative
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Ian Blackford,Scottish National Party
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Sir Jeffrey M. Donaldson,Democratic Unionist Party
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Tim Farron,Liberal Democrat
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Mr Gavin Shuker,Independent
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Eleanor Smith,Labour
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Baroness Brinton,Liberal Democrat
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Lord Curry of Kirkharle,Crossbench
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Lord Farmer,Conservative
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject,Vice Chair,Baroness Sherlock,Labour
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject,Chair & Registered Contact,Mr Ian Liddell-Grainger,Conservative
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject,Vice Chairman,Bill Wiggin,Conservative
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject,Vice Chairman,Neil Parish,Conservative
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject,Vice Chairman,Lord Kilclooney,Crossbench
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject,Vice Chairman,Sir Mark Hendrick,Labour (Co-op)
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject,Chair & Registered Contact,Graham Stringer,Labour
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject,Vice Chair,Lord Shipley,Liberal Democrat
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject,Vice Chair,Mike Wood,Conservative
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject,Secretary,Daniel Zeichner,Labour
All-Party Parliamentary Group for Civic Societies,"To discuss issues related to civic society and the civic movement; to realise these issues on the parliamentary agenda; and to provide a forum for an exchange of views between stakeholders with an interest in making places more attractive, enjoyable and distinctive.",Subject,Chair & Registered Contact,Craig Mackinlay,Conservative
All-Party Parliamentary Group for Civic Societies,"To discuss issues related to civic society and the civic movement; to realise these issues on the parliamentary agenda; and to provide a forum for an exchange of views between stakeholders with an interest in making places more attractive, enjoyable and distinctive.",Subject,Vice Chair,Mr William Wragg,Conservative
All-Party Parliamentary Group for Civic Societies,"To discuss issues related to civic society and the civic movement; to realise these issues on the parliamentary agenda; and to provide a forum for an exchange of views between stakeholders with an interest in making places more attractive, enjoyable and distinctive.",Subject,Vice Chair,Craig Tracey,Conservative
