title,purpose,category
British Council All-Party Parliamentary Group,"For parliamentarians to learn more about and better understand the British Council, and to support the British Council, offering advice and encouragement in both its everyday and long term work.",Subject
British Curry Catering Industry All-Party Parliamentary Group,To provide a forum for parliamentarians to consider and discuss the role and contribution of the British curry catering industry.,Subject
All-Party Parliamentary Group for British Hindus,To support and promote the interests of British Hindus to Parliament; to encourage political parties in the UK to actively engage with the British Hindu community; to consider campaigns and issues on behalf of British Hindus; to press for more government engagement with the Hindu community; to highlight and acknowledge the exceptional and significant contribution of the British Hindu community in all walks of life.,Subject
All-Party Parliamentary Group on British Jews,"To promote understanding of the aspirations and challenges of the UK's Jewish community, with topics including religious freedom, faith based education, welfare and social justice. To celebrate the culture, contribution and achievements of the UK's Jewish community.",Subject
British Museum All-Party Parliamentary Group,"To establish a partnership between Parliament and the British Museum, including work with local and regional museums, and an understanding of its role as a leading world museum.",Subject
All-Party Parliamentary Group on British Muslims,"To inform Parliament and parliamentarians of, and harness their support for, the aspirations and challenges of British Muslim communities; to promote and celebrate their contributions; and to investigate the forms, manifestations and extent of prejudice, discrimination and hatred against Muslims in the UK.",Subject
British Parliamentary Awards All-Party Parliamentary Group,"To recognise the most influential organisations in UK global relations by bringing together and promoting Britain's highest achieving men and women on a local, national and international level as part of a new Global Britain campaign.",Subject
All-Party Parliamentary Group for the Defence of the Interests of British Property Owners in Cyprus,"To promote, defend and provide a parliamentary focus for the defence of the interests of British property owners in Cyprus.",Subject
All-Party Parliamentary Group on British Turks and Kurds,To encourage debate and engage in discussion about issues affecting Britain's Turkish and Kurdish communities.  To promote the contribution and achievements of the Turkish and Kurdish communities in Britain.,Subject
All-Party Parliamentary Group on Broadband and Digital Communication,"To further the roll out of broadband in rural and urban areas, and to look at digital communication across the UK.",Subject
All-Party Parliamentary Group on Building Communities,"To promote the social value of placemaking and good design for communities.  The group focuses on how to improve community involvement in infrastructure, housing and other developments, and seeks to highlight the benefits of an upfront and informed approach to growth in local areas.",Subject
All-Party Parliamentary Group for Excellence in the Built Environment,To promote excellence in the built environment.,Subject
All-Party Parliamentary Group on Bullying,"To highlight, discuss and record the frequency, severity, and consequences of bullying on children and young people, and the effect it has on their parents or carers, peers, their school and others.",Subject
All-Party Parliamentary Group on Business Brexit,"To develop evidence based policy recommendations for the current government that will support and encourage businesses of all sizes to prosper in the post-Brexit environment, making an assessment of what legislation will remain and what will be repealed following the repealing of the ECA, and what may legislation may be added to improved the business environment now the UK is no longer bound by the EU laws and conditions.",Subject
All-Party Parliamentary Group for Business Improvement Districts,To promote parliamentary and public understanding of the importance of the role of Business Improvement Districts within the UK and beyond.,Subject
All-Party Parliamentary Group for Business Support and Engagement,"To assess how businesses can be better supported by government, the private sector and third party organisations, and to utilise Parliament to provide engagement and networking forums for businesses, to help enhance existing, and develop new, supply chains between businesses; to share ethical business practices; and to promote corporate responsibility.",Subject
All-Party Parliamentary Group on the Friends of CAFOD (Catholic Agency for Overseas Development),"To meet and discuss matters of interest to the work of CAFOD, current humanitarian crises and the role of the Catholic church in international development.",Subject
All-Party Parliamentary Group on Cancer,"To keep cancer on the political agenda, monitor implementation of government initiatives, provide briefings to parliamentarians, and ensure policy-making is evidence-based and patient-centred.",Subject
All-Party Parliamentary Group on Cannabis: Harmful Effects on Developing Brains,"To inform members of both Houses of Parliament and, using sound scientific and medical evidence, to raise awareness and stimulate discussion about the impact of cannabis on developing brains.",Subject
All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from energy intensive industries, heating and power.",Subject
All-Party Parliamentary Carbon Monoxide Group,"The APPG is the leading forum for Parliamentarians to discover, discuss and promote ways of tackling carbon monoxide poisoning in the UK.",Subject
All-Party Parliamentary Group on Cardiac Risk in the Young,To promote amongst parliamentarians the issue of cardiac risk in the young (CRY); to inform policy decisions and public debate relating to CRY; and to enable communications between interested parties and relevant parliamentarians.,Subject
All-Party Parliamentary Group on Carers,"To encourage equality of opportunity for carers in the UK, liaising with carers' organisations, lobbying governments and promoting legislation on their behalf, to promote awareness in Parliament of carers' and former carers' needs; to liaise with members of the UK's devolved administrations; to link with international bodies, including carers' organisations.",Subject
All-Party Parliamentary Group on Cats,"The All-Party Parliamentary Group on Cats (APGOCATS) is a group of MPs, Peers and associate organisations with an interest in feline welfare, aiming to promote and further feline welfare. APGOCATS seeks to support discussion and debate about what the public, politicians and the government can do to further feline welfare.",Subject
All-Party Parliamentary Group for Ceramics,"To broaden the understanding of ceramic manufacturing in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy, and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject
All-Party Parliamentary Group for Challenger Banks and Building Societies,"To review the regulations of the banking and financial sector and to promote fair competition, removing entry barriers and encouraging diversity of service.",Subject
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Subject
All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject
All-Party Parliamentary Group on Charity Retail,To build awareness and understanding of the charity retail sector in the UK among parliamentarians and those within local government.,Subject
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and act as a forum for Members to express views.,Subject
All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject
All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Subject
All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Subject
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides, to promote first-class government policy for children.",Subject
All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Subject
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern, and to make recommendations to government and other policy makers.",Subject
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject
"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Subject
All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Subject
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and inform and educate people about its role and importance, especially in rural areas.",Subject
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and promote discussion of transport issues in the metropolitan areas.,Subject
All-Party Parliamentary Group for Civic Societies,"To discuss issues related to civic society and the civic movement; to realise these issues on the parliamentary agenda; and to provide a forum for an exchange of views between stakeholders with an interest in making places more attractive, enjoyable and distinctive.",Subject
All-Party Parliamentary Group on Classical Music,"To bring together parliamentarians who have an interest in and wish to further the appreciation of classical music; to act as an interface between British orchestras' on and off-stage activities, the wider classical music industry, including broadcasters and the recording industry, and key decision makers and opinion formers; and to look at the potential for establishing parliamentary classical music awards and promoting the supporting young musicians.",Subject
All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Subject
All-Party Parliamentary Group for the Coalfield Communities,"To promote awareness among MPs of issues that continue to face former coalfield areas; to support the regeneration and economic development of coalfield communities; to raise the profile of the economic, social and environmental issues affecting such areas and to press government to implement effective and sustainable policy solutions.",Subject
All-Party Parliamentary Group on Coastal Communities,"To investigate various issues that affect coastal communities, establish policy with cross-party support and promote economic growth in coastal communities.",Subject
All-Party Parliamentary Group on Commercial Radio,To seek a better understanding between broadcasters and parliamentarians about the vital role that radio plays in our communities and our economy.,Subject
All-Party Parliamentary Group for the Commonwealth,"To inform Members about the Commonwealth Secretariat's developments to strengthen the Commonwealth network; to keep members aware of the range of non-parliamentary activities and programmes carried out underneath the Commonwealth brand, both on governmental and non-governmental levels; and to take advantage of opportunities within the developing Commonwealth network for Britain's political and commercial activities and for Britain's positioning in the new international landscape.",Subject
All-Party Parliamentary Group for the Commonweatlth Games,"To support and promote the Commonwealth Games, and particularly the 2022 Commonwealth Games, from bid to legacy - including home nations, participating sports and athletes taking part in the games.",Subject
All-Party Parliamentary Group on Communities Engagement,"To help parliamentarians to be aware of, and respond to, the various issues and challenges facing members of the diverse communities in the UK.",Subject
All-Party Parliamentary Group on Community Development in Europe,"To raise awareness among British Parliamentarians of methods and best practice to improve the stability of families and communities; to develop contacts accordingly between European parliamentarians; and to evaluate evidence from methods and good practice, including that from voluntary and private institutions and from partnerships between public and private sectors.",Subject
All-Party Parliamentary Group on Community Transport,To provide a forum for parliamentarians to demonstrate and celebrate the value of community transport in Parliament and learn about the experiences of community transport charities and their service-users in shaping public policy where improved accessibility and mobility would be of benefit.,Subject
All-Party Parliamentary Group on Competition for Heathrow Expansion,To explore the effects of a lack of competition in the current operation of Heathrow Airport and the process to decide who will deliver and operate Heathrow's future infrastructure.  To consider the potential for aviation passengers of introducing competition at Heathrow and giving serious consideration to alternative proposals for the development.,Subject
All-Party Parliamentary Group on Complex Needs,"To give parliamentarians a greater understanding of the barriers faced by those with complex needs or dual diagnosis who may have to negotiate a number of issues (mental health, substance misuse issues) in their lives while often living in deprivation and lacking access to stable housing or meaningful daily activities.",Subject
All-Party Parliamentary Group for Conception to Age Two - First 1001 Days,"To promote a holistic approach to the antenatal and post natal period, specifically with regards to the early years and infant mental health; to hold evidence-based enquiries into best practice for the 1001 critical days to help policymakers make informed decisions on provision in this period; and to uphold cross-party consensus for this age group.",Subject
All-Party Parliamentary Group on Connected Places,"To bring parliamentarians together with leaders in central and local government, civil society and commerce, to develop and enable sustainable and efficient smart solutions to the challenges of modern living, and support the work of the Connected Places Catapult.",Subject
All-Party Parliamentary Group on Consumer Protection,"To provide a voice for ordinary retail consumers across a range of sectors in the UK economy; to raise awareness of issues, rights and obligations in the field of consumer protection with parliamentarians and the wider public.",Subject
All-Party Parliamentary Group for Continence Care,To break the taboo by raising awareness of continence issues for adults and children and to promote cost effective funding for continence services and provision.,Subject
All-Party Parliamentary Corporate Governance Group,"To develop and enhance the understanding of corporate governance at Westminster. The focus is on promoting responsible leadership of business, so that the interests of shareholders and other stakeholders are properly protected.",Subject
All-Party Parliamentary Corporate Responsibility Group,To promote debate and understanding of corporate responsibility.,Subject
All-Party Parliamentary Group on Anti-Corruption,To raise awareness of the impact of international corruption and to enhance and strengthen UK anti-corruption policies and mechanisms.,Subject
All-Party Parliamentary Group on Counter-Extremism,"To aid Parliament by alerting it to the dangers of extremism, helping to identify the implications of extremism and the responses society can take to combat its origins and effects, complementing the activities of relevant select committees, supporting the output of related APPGs, and offering leadership in challenging existing extremism, how it acts, and how it can be combatted.",Subject
County All-Party Parliamentary Group,To promote the importance of county councils to parliamentarians.,Subject
All-Party Parliamentary Group for Strengthening Couple Relationships and Reducing Interparental Conflict,"To promote and develop marriage and relationship skills and support, identifying best practice within the UK and internationally, to help reduce interparental conflict as well as family breakdown, and support both adult and child mental health and well-being.",Subject
All-Party Parliamentary Group for Craft,"To enhance the understanding and promotion of craft in the UK, and to ensure craft skills are supported and passed on to future generations.",Subject
All-Party Parliamentary Group for Creative Diversity,To engage with industry and government to identify and tackle obstacles to diversity in the creative sector.,Subject
All-Party Parliamentary Group on Credit Unions,"To provide a forum for discussing the work of credit unions and the need to secure a supportive environment, including enabling legislation and proportionate regulation, to allow credit unions to scale up and provide inclusive financial services to many more people.",Subject
All-Party Parliamentary Cricket Group,To foster and improve relations between Parliament and cricket at all levels.,Subject
All-Party Parliamentary Crossrail Group,"To promote the successful completion of Crossrail, and other related matters.",Subject
All-Party Parliamentary Group on Customer Service,"To raise awareness and understanding of customer service, including its impact on economic growth.",Subject
All-Party Parliamentary Group on Cyber Security,"To be a forum for cyber security briefings and discussion. To address developments in cyber security systems and techniques affecting consumers, business and its role in defence, the UK economy/society and the Critical National Infrastructure.  To examine security, identity, regulation and fraud. To raise awareness and understanding for non-specialists.",Subject
All-Party Parliamentary Cycling Group,To promote the use of bicycles as a means of transport and to raise both inside and outside the House the practice and status of cycling.,Subject
All-Party Parliamentary Group on Dairy,To provide a forum for parliamentarians to discuss issues of interest on the dairy industry and ensure parliamentarians are fully briefed on developments or potential issues within the dairy supply chain.,Subject
All-Party Parliamentary Group for Dalits,To draw attention to the discrimination against Dalits (the former untouchables) wherever it occurs and support attempts to eliminate it.,Subject
All-Party Parliamentary Dance Group,"To promote dance as an art form and as an important element of healthy living and the fight against obesity, and to promote its education and social benefits.",Subject
All-Party Parliamentary Group for Darts,"To promote the sport of darts and support its continued development, as well as to inform and educate members of both Houses of Parliament and the wider public about the contribution of the sport to personal development, communities and charitable causes.",Subject
All-Party Parliamentary Group on Data Analytics,"To disseminate knowledge, generate debate and facilitate engagement on data analytics amongst Members of both Houses of Parliament.",Subject
All-Party Parliamentary Group on Deafness,To promote the interests of people who are deaf or have a hearing loss.,Subject
All-Party Parliamentary Group on the Abolition of the Death Penalty,To campaign for the abolition of the death penalty in all circumstances and to raise awareness of death penalty cases.,Subject
All-Party Parliamentary Group on Deaths Abroad and Consular Services and Assistance,"To improve Foreign and Commonwealth Office consular services and assistance, including the process for bereaved families who have had loved ones murdered abroad, die abroad in suspicious circumstances, missing abroad, or in jail abroad.",Subject
All-Party Parliamentary Group on Debt and Personal Finance,To provide a forum for MPs and peers to discuss debt and personal finance issues; to monitor legislative and other developments in this area; and to provide an opportunity for liaison between members and consumer organisations with an interest in these issues.,Subject
All-Party Parliamentary Group on Deliberative Democracy,"To promote the understanding and spread of deliberative democracy, including the greater use of citizens assemblies, citizens conventions and citizens juries.",Subject
All-Party Parliamentary Group on Dementia,To raise awareness of dementia among parliamentarians and to influence legislation and policy making in order to improve the lives of people with dementia and their carers.,Subject
All-Party Parliamentary Group for Dentistry and Oral Health,"To act as a focus for dental and oral health issues in Parliament, and work to raise the profile of dentistry.",Subject
All-Party Parliamentary Design and Innovation Group,"To encourage the exchange of knowledge and understanding between Parliament and the design industry and innovation communities, helping to raise the profile of design both inside and outside of Parliament.",Subject
All-Party Parliamentary Group for Diabetes,Raising awareness for Diabetes and the issues of diabetic people across the UK.,Subject
"All-Party Parliamentary Group on Diasporas, Development and Migration","To promote parliamentary and public understanding of the key issues affecting diaspora communities in the UK, and to expand their contributions to international development. The group will connect parliamentarians with diaspora organisations and academics to inform policy on how diaspora contributions can be harnessed for greater impact.",Subject
All-Party Parliamentary Group for Digital Currencies,"To promote an appropriately regulated environment in which digital currencies may grow, and to raise awareness of digital currencies as an alternative means of financial investment and transactions.",Subject
All-Party Parliamentary Group on Digital Identity,To raise awareness of Digital ID issues by providing a forum for briefings and discussion. The group will address how Digital ID systems and techniques affect consumers and businesses and its role in the smooth working of the UK economy and society. The group will promote inclusion and understanding for non-specialists.,Subject
All-Party Parliamentary Group on Digital Skills,"To provide a forum for parliamentarians, educators  and employers to promote the importance of digital skills and to encourage a greater understanding of digital skills for personal, educational and career development.",Subject
All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Subject
All-Party Parliamentary Group on Any Disability Signage,"To work with parliamentarians and key stakeholders to research, discuss and promote any disability public signage that truly reflects the range of disabilities that exist across society that are both visible and invisible.",Subject
All-Party Parliamentary Group for District Councils,"To work to promote the interests of district councils, support closer working with parliamentarians and to raise awareness of the opportunities for districts in shaping the evolving local government agenda.",Subject
"All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering and Maths","To increase diversity and promote the inclusion and progression of people from diverse backgrounds in Science, Technology, Engineering and Maths (STEM), and to encourage  government, parliamentarians, academics, businesses and others to work towards a STEM sector that is inclusive to all. To consider and influence changes in policy that will lead to this outcome.",Subject
All-Party Parliamentary Dog Advisory Welfare Group,"To explore, highlight, discuss and challenge dog-related activities, legislation, and trends with the overall aim of improving the health and welfare of the UK's dogs and dog owners, and society in general.",Subject
All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Subject
All-Party Parliamentary Group on Drones,"To examine the use of drones (unmanned aerial vehicles) by governments, for domestic and international, military and civilian purposes.",Subject
All-Party Parliamentary Group for Drug Policy Reform,To discuss drug policy reform based on available evidence and with a health focus.,Subject
All-Party Parliamentary Group on Friends of Durham University,"To promote Durham University as a local, national and global centre of teaching, learning and research excellence and a vital contributor to the local community and economy of County Durham, the wider North-East and beyond.",Subject
All-Party Parliamentary Group on Dyslexia and Other Specific Learning Difficulties,"To understand Dyslexia and other specific learning difficulties and the need to keep government appraised of the situation in schools, education and in general in the UK.  The group will also look at what statutory and non-statutory bodies are achieving in this field. The aim is to achieve a dyslexia friendly society by enabling individuals with dyslexia to achieve their potential across all ages and sectors of society.",Subject
All-Party Parliamentary Group on Dyspraxia,"To raise awareness of Dyspraxia/DCD and Neuro diverse conditions and its impact on those with the condition.  To share ideas, and act as a link between Parliament and organisations and charities involved with this issue.",Subject
All-Party Parliamentary Group on the East Coast Main Line,"To campaign on securing investment for one of the UK's most strategic rail routes; on improving passenger experience, capacity and reliability; and on shorter journey times - as well as on the economic growth that could be unlocked in the areas the East Coast Main Line serves.",Subject
All-Party Parliamentary Group on the East Midlands,"To bring together MPs and Peers from across the East Midlands region, in coordination with leaders in local government, commerce and civil society, to identify priorities for development and maximise future investment in the region, to the benefit of all its communities.",Subject
East of England All-Party Parliamentary Group,"To bring together east of England's MPs and Peers with elected local leaders - and the private and third sectors - to give a strong political voice for policies which support the east of England's economy and promote its potential as a place to work, study, live and invest.",Subject
All-Party Parliamentary Group on Eating Disorders,"To improve policy, in particular improving access and treatment for people affected by eating disorders and measures that support prevention and early intervention.",Subject
All-Party Parliamentary Group for Economic Development,"To bring together economic development practitioners, policy makers and local leaders to ensure no parts of the UK economy are left behind.",Subject
All-Party Parliamentary Group for Education,To promote and stimulate debate across all sectors of education.,Subject
"All-Party Parliamentary Group on Eggs, Pigs and Poultry","To raise issues of concern and opportunity to the egg, pig and poultry sectors.",Subject
All-Party Parliamentary Group on Electoral Campaigning Transparency,"The APPG will evaluate current UK electoral campaigning laws, interviewing key experts and practitioners in the field, and seeks to use the findings to introduce legislation ensuring that our electoral campaigning laws are fit for purpose in the modern era.",Subject
All-Party Parliamentary Group on Electric Vehicles,"To engage parliamentarians interested in electric vehicles.  The group will consider issues relating to manufacturing, energy supply, infrastructure requirements, and safety, amongst others. The group will also consider the impacts of automated vehicles, low carbon fuels and other forms of electric mobility.  The APPG will bring together manufacturers, businesses, media, NGOs and experts to share information, promote awareness and debate future policy options.",Subject
All-Party Parliamentary Group on Endometriosis,To raise awareness of endometriosis and investigate how those who suffer from the condition can receive the support they need.,Subject
All-Party Parliamentary Group on Energy Costs,To promote evidence-based discussion on all aspects of energy costs; to inform energy policy decisions and public debate; and to enable communications between interested parties and relevant Parliamentarians.,Subject
All-Party Parliamentary Group for Energy Intensive Industries,To provide a forum for MP's and Peers to discuss and learn about issues of concern to the UK's energy intensive industries.,Subject
All-Party Parliamentary Group on Energy Storage,"To engage parliamentarians interested in energy storage technologies and their applications, bringing them together with businesses, NGOs, and experts in the field of energy storage to share information, promote awareness and debate future policy options.",Subject
All-Party Parliamentary Group for Energy Studies,"To look at all aspects of energy and help industry, academia and government to work together.",Subject
All-Party Parliamentary Engineering Group,Enabling contact and involvement with parliamentarians and the engineering profession but with a special emphasis on young engineers.,Subject
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Subject
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Subject
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Subject
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Subject
All-Party Parliamentary Group on Esports,To support esports.,Subject
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Subject
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Subject
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Subject
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Subject
All-Party Parliamentary Group on Fair Business Banking,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Subject
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Subject
All-Party Parliamentary Group on Fairs and Showgrounds,To help the industry in convening meetings with government departments who are introducing legislation to change existing legislation to the detriment of the fairs and showgrounds industry.,Subject
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Subject
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Subject
All-Party Parliamentary Group for Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",Subject
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Subject
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Subject
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Subject
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Subject
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Subject
All-Party Parliamentary Group on Financial Education for Young People,"To provide a forum for parliamentarians and organisations to discuss the current provision of financial education in schools, further education and higher education, and ensure that all young people - regardless of background - are equipped to make informed financial decisions.",Subject
All-Party Parliamentary Group on Financial Markets and Services,"The APPG is an informal cross-party interest and educational group. It was established to provide parliamentarians with a unique forum for briefings and constructive debate on issues relating to the wholesale financial sector with senior city practitioners, advisors, economists and academics.",Subject
All-Party Parliamentary Group on Financial Technology,"To raise awareness in Parliament of the growing importance of Financial Technology (FinTech) to the UK economy, to policy making and to consumers. It aim to promote a regulatory framework that encourages a growing, inclusive and competitive FinTech Industry.",Subject
All-Party Parliamentary Fire Safety and Rescue Group,To meet and discuss topical fire safety and rescue issues with appropriate specialists in these fields.,Subject
All-Party Parliamentary Fisheries Group,To promote and support the UK fishing industry in Parliament.,Subject
All-Party Parliamentary Group on a Fit and Healthy Childhood,To promote evidence-based discussion and produce reports on all aspects of childhood health and wellbeing including obesity; to inform policy decisions and public debate relating to childhood; and to enable communications between interested parties and relevant parliamentarians.,Subject
Flags and Heraldry All-Party Parliamentary Group,"To promote the flying of the Union Flag and flags associated with the UK, British territories, dependencies, the Commonwealth, heraldry, British symbols and related issues.",Subject
All-Party Parliamentary Group on Flood Prevention,"To discuss and further flood prevention across the UK, and minimise the impact of flooding on members of the public and British businesses.",Subject
All-Party Parliamentary Group on Folk Arts,To promote folk arts.,Subject
All-Party Parliamentary Group for Food and Drink Manufacturing,"To act as the voice of food and drink manufacturing in Parliament. The Group serves to raise the profile of the food and drink industry - the UK's largest manufacturing sector, allowing MPs and Peers to explore issues affecting the industry through a programme of events, topical discussions, and site visits.",Subject
All-Party Parliamentary Food and Health Forum,"To provide a cross-party, independent forum for the exchange of views and information on food policy and to provide an environment for well informed debate; and the opportunity to contribute to the development of policies on food, diet and health.",Subject
All-Party Parliamentary Group on Food Waste,"To bring together parliamentarians with an interest in this issue; to facilitate informed discussion with policy-makers, the food industry and environmental and food redistribution organisations; to promote policies which will reduce food waste.",Subject
All-Party Parliamentary Group on Foodbanks,To look at the rise of foodbank use in the UK and reasons behind the rise.,Subject
Football All-Party Parliamentary Group,To hold meetings for parliamentarians about football issues and raise matters of importance with the football authorities.,Subject
All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Subject
All-Party Parliamentary Group for Football Supporters,To represent the interests of paying football supporters at both professional and semi-professional football (soccer) matches in the UK and abroad.,Subject
All-Party Parliamentary Group on Forestry,"A successful forestry and wood-processing sector is positive for the economy, environment, biodiversity, recreation and health. But its future is under threat unless urgent action is taken. The sector needs a secure supply of timber and woodlands must be managed responsibly. The APPG will help tackle both of these issues.",Subject
All-Party Parliamentary Group on Formula One,To support the sport and industry of Formula One.,Subject
All-Party Parliamentary Group on Foster Care Work,"To bring together parliamentarians, foster care workers, and experts to discuss and promote measures to improve the state of fostering in the UK; and to work to raise the profile of both the problem and its solutions in Parliament.",Subject
All-Party Parliamentary Group on the Fourth Industrial Revolution,"To support and promote the Fourth Industrial Revolution (4IR) in Parliament and encourage Government, Parliamentarians, academia, the private sector, and other stakeholders, to engage with 4IR-related issues.",Subject
All-Party Parliamentary Group on Freeports,To promote freeports as a vehicle for economic growth to benefit the national and local economies.,Subject
All-Party Parliamentary Group on Frozen British Pensions,To bring together parliamentary supporters of the case to unfreeze British state pensions overseas and to campaign for reform.,Subject
All-Party Parliamentary Group for Fruit and Vegetable Farmers,To raise awareness and understanding of the fruit and vegetable industry and to provide the voice of fruit and vegetable farmers inside and outside Parliament.,Subject
All-Party Parliamentary Group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against government targets across the UK to eradicate fuel poverty; to advocate policies that deliver affordable warmth for low income and vulnerable households with emphasis on improved domestic energy efficiency and efficient heating systems.,Subject
All-Party Parliamentary Group for Funerals and Bereavement,To provide a forum for the discussion of funeral and bereavement issues.,Subject
All-Party Parliamentary Furniture Industry Group,To raise awareness of the furniture industry and to publicise and promote the industry in the UK in order to protect jobs and investment.,Subject
