title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group on Community Transport,To provide a forum for parliamentarians to demonstrate and celebrate the value of community transport in Parliament and learn about the experiences of community transport charities and their service-users in shaping public policy where improved accessibility and mobility would be of benefit.,Subject,Community Transport Association,Secretariat From 12/03/2019 To 11/03/2020,3001,4500,2019-03-12,2019-07-10
All-Party Parliamentary Group on Competition for Heathrow Expansion,To explore the effects of a lack of competition in the current operation of Heathrow Airport and the process to decide who will deliver and operate Heathrow's future infrastructure.  To consider the potential for aviation passengers of introducing competition at Heathrow and giving serious consideration to alternative proposals for the development.,Subject,Canon Row Ltd,Canon Row Ltd is paid by Heathrow West Ltd to act as the group's secretariat. From 09/09/2019 To 08/09/2020,7501,9000,2019-09-09,2019-09-09
All-Party Parliamentary Group for Conception to Age Two - First 1001 Days,"To promote a holistic approach to the antenatal and post natal period, specifically with regards to the early years and infant mental health; to hold evidence-based enquiries into best practice for the 1001 critical days to help policymakers make informed decisions on provision in this period; and to uphold cross-party consensus for this age group.",Subject,Parent Infant Partnership UK,Secretariat From 09/10/2017 To 08/10/2018,1501,3000,2017-10-09,2017-11-06
All-Party Parliamentary Group on Connected Places,"To bring parliamentarians together with leaders in central and local government, civil society and commerce, to develop and enable sustainable and efficient smart solutions to the challenges of modern living, and support the work of the Connected Places Catapult.",Subject,Connected Places Catapult,Secretariat From 18/06/2019 To 17/06/2020,30001,31500,2019-06-18,2019-06-21
All-Party Parliamentary Group for Continence Care,To break the taboo by raising awareness of continence issues for adults and children and to promote cost effective funding for continence services and provision.,Subject,Absorbent Hygiene Products Manufacturers Association,Secretariat From 05/07/2019 To 04/07/2020,6001,7500,2019-07-05,2019-07-19
County All-Party Parliamentary Group,To promote the importance of county councils to parliamentarians.,Subject,County Councils Network,Secretariat From 13/09/2018 To 12/09/2019,3001,4500,2018-09-13,2018-01-09
County All-Party Parliamentary Group,To promote the importance of county councils to parliamentarians.,Subject,County Councils Networks,Design and publication of report,1501,3000,2018-10-31,2019-01-09
County All-Party Parliamentary Group,To promote the importance of county councils to parliamentarians.,Subject,Country Councils Network,Reception held on 31/10/2018,3001,4500,2018-10-31,2019-01-09
All-Party Parliamentary Group for Strengthening Couple Relationships and Reducing Interparental Conflict,"To promote and develop marriage and relationship skills and support, identifying best practice within the UK and internationally, to help reduce interparental conflict as well as family breakdown, and support both adult and child mental health and well-being.",Subject,Tavistock Relationships,Secretariat From 06/09/2018 To 05/09/2019,1501,3000,2018-09-06,2018-10-29
All-Party Parliamentary Group on Credit Unions,"To provide a forum for discussing the work of credit unions and the need to secure a supportive environment, including enabling legislation and proportionate regulation, to allow credit unions to scale up and provide inclusive financial services to many more people.",Subject,Lloyds Banking Group,Reception,4501,6000,2019-06-04,2019-06-18
All-Party Parliamentary Group on Credit Unions,"To provide a forum for discussing the work of credit unions and the need to secure a supportive environment, including enabling legislation and proportionate regulation, to allow credit unions to scale up and provide inclusive financial services to many more people.",Subject,Association of British Credit Unions Limited,Secretariat From 17/10/2019 To 16/10/2020,1501,3000,2019-10-17,2019-10-17
All-Party Parliamentary Group on Customer Service,"To raise awareness and understanding of customer service, including its impact on economic growth.",Subject,The Institute of Customer Service,Secretariat From 06/07/2019 To 05/07/2020,10501,12000,2019-07-06,2019-07-25
All-Party Parliamentary Group on Cyber Security,"To be a forum for cyber security briefings and discussion. To address developments in cyber security systems and techniques affecting consumers, business and its role in defence, the UK economy/society and the Critical National Infrastructure.  To examine security, identity, regulation and fraud. To raise awareness and understanding for non-specialists.",Subject,"Information Security Group, Royal Holloway University of London","Secretariat From 18/12/2018 To 17/12/2019 Cost Met Information Security Group, Royal Holloway University of London acts as the group's secretariat via Wychwood Consulting Ltd",10501,12000,2018-12-18,2018-12-14
All-Party Parliamentary Group on Dairy,To provide a forum for parliamentarians to discuss issues of interest on the dairy industry and ensure parliamentarians are fully briefed on developments or potential issues within the dairy supply chain.,Subject,Dairy UK,Secretariat From 21/02/2019 To 20/12/2020,1501,3000,2019-02-21,2019-03-07
All-Party Parliamentary Dance Group,"To promote dance as an art form and as an important element of healthy living and the fight against obesity, and to promote its education and social benefits.",Subject,One Dance UK,Secretariat From 11/07/2018 To 10/07/2019,1501,3000,2018-07-11,2018-11-08
All-Party Parliamentary Group on Data Analytics,"To disseminate knowledge, generate debate and facilitate engagement on data analytics amongst Members of both Houses of Parliament.",Subject,Policy Connect,Secretariat From 11/07/2019 To 10/07/2020,58501,60000,2019-07-11,2019-07-24
All-Party Parliamentary Group on Deafness,To promote the interests of people who are deaf or have a hearing loss.,Subject,Action on Hearing Loss,Secretariat From 05/09/2018 To 04/09/2019,1501,3000,2018-09-05,2018-10-31
All-Party Parliamentary Group on the Abolition of the Death Penalty,To campaign for the abolition of the death penalty in all circumstances and to raise awareness of death penalty cases.,Subject,Frank Warburton Consultancy,Secretariat From 12/07/2019 To 11/07/2020,3001,4500,2019-07-12,2019-07-31
All-Party Parliamentary Group on Dementia,To raise awareness of dementia among parliamentarians and to influence legislation and policy making in order to improve the lives of people with dementia and their carers.,Subject,Alzheimer's Society,Secretariat From 06/09/2018 To 05/09/2019,6001,7500,2018-09-06,2018-11-01
All-Party Parliamentary Group for Dentistry and Oral Health,"To act as a focus for dental and oral health issues in Parliament, and work to raise the profile of dentistry.",Subject,British Dental Association,Secretariat From 14/09/2018 To 13/09/2019,1501,3000,2018-09-14,2018-10-30
All-Party Parliamentary Design and Innovation Group,"To encourage the exchange of knowledge and understanding between Parliament and the design industry and innovation communities, helping to raise the profile of design both inside and outside of Parliament.",Subject,Policy Connect,Secretariat From 10/07/2019 To 09/07/2020,39001,40500,2019-07-10,2019-07-24
All-Party Parliamentary Group for Diabetes,Raising awareness for Diabetes and the issues of diabetic people across the UK.,Subject,Novo Nordisk,Event held on 31/10/2018,3001,4500,2018-10-31,2018-11-09
All-Party Parliamentary Group for Diabetes,Raising awareness for Diabetes and the issues of diabetic people across the UK.,Subject,Diabetes UK,Secretariat From 05/07/2018 To 04/07/2019,1501,3000,2018-07-05,2018-11-16
All-Party Parliamentary Group for Diabetes,Raising awareness for Diabetes and the issues of diabetic people across the UK.,Subject,Novo Nordisk,Event held on 13/12/2018,3001,4500,2018-12-13,2019-01-11
All-Party Parliamentary Group for Digital Currencies,"To promote an appropriately regulated environment in which digital currencies may grow, and to raise awareness of digital currencies as an alternative means of financial investment and transactions.",Subject,Digital Currency Foundation,Secretariat From 13/03/2019 To 12/03/2020,10501,12000,2019-03-13,2018-03-14
All-Party Parliamentary Group on Digital Identity,To raise awareness of Digital ID issues by providing a forum for briefings and discussion. The group will address how Digital ID systems and techniques affect consumers and businesses and its role in the smooth working of the UK economy and society. The group will promote inclusion and understanding for non-specialists.,Subject,Yoti pays Wychwood Consulting Ltd to act on its behalf as the group's secretariat,Secretariat From 19/12/2018 To 18/12/2019,10501,12000,2018-12-19,2019-03-04
All-Party Parliamentary Group on Digital Skills,"To provide a forum for parliamentarians, educators  and employers to promote the importance of digital skills and to encourage a greater understanding of digital skills for personal, educational and career development.",Subject,Connect Communications,"Connect Communications is paid by BT, Google, City and Guilds, and the Education Technology Association to act as the group's secretariat From 17/07/2019 To 16/07/2020",22501,24000,2019-07-17,2019-07-23
All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Subject,Disability Rights UK,Joint Secretariat From 13/07/2019 To 12/07/2020,4501,6000,2019-07-13,2019-10-11
All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Subject,Warwick Business School,Joint Secretariat From 13/07/2019 To 12/07/2020,16501,18000,2019-07-13,2019-10-11
All-Party Parliamentary Group for District Councils,"To work to promote the interests of district councils, support closer working with parliamentarians and to raise awareness of the opportunities for districts in shaping the evolving local government agenda.",Subject,Connect,Secretariat From 06/09/2018 To 05/09/2019,10501,12000,2018-09-06,2018-10-17
"All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering and Maths","To increase diversity and promote the inclusion and progression of people from diverse backgrounds in Science, Technology, Engineering and Maths (STEM), and to encourage  government, parliamentarians, academics, businesses and others to work towards a STEM sector that is inclusive to all. To consider and influence changes in policy that will lead to this outcome.",Subject,British Science Association,"British Science Association is paid by the following to act as the group's secretariat: Drax Group, Genomics England, Institute of Physics and Engineering in Medicine, Pearson, PricewaterhouseCoopers, Royal Academy of Engineering, Society for Applied Microbiology, University College London, Wellcome Trust From 25/06/2018 To 24/06/2019",37501,39000,2018-06-25,2018-07-24
All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Subject,Women's Aid,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2018-07-24
All-Party Parliamentary Group on Dyslexia and Other Specific Learning Difficulties,"To understand Dyslexia and other specific learning difficulties and the need to keep government appraised of the situation in schools, education and in general in the UK.  The group will also look at what statutory and non-statutory bodies are achieving in this field. The aim is to achieve a dyslexia friendly society by enabling individuals with dyslexia to achieve their potential across all ages and sectors of society.",Subject,British Dyslexia Association,Secretariat From 06/09/2019 To 05/09/2020,7501,9000,2019-09-06,2019-10-29
East of England All-Party Parliamentary Group,"To bring together east of England's MPs and Peers with elected local leaders - and the private and third sectors - to give a strong political voice for policies which support the east of England's economy and promote its potential as a place to work, study, live and invest.",Subject,DevoConnect,Secretariat From 13/12/2018 To 12/12/2019,16501,18000,2018-12-13,2019-04-02
All-Party Parliamentary Group on Eating Disorders,"To improve policy, in particular improving access and treatment for people affected by eating disorders and measures that support prevention and early intervention.",Subject,Beat,Secretariat From 22/05/2019 To 21/05/2020,27001,28500,2019-05-22,2019-06-18
All-Party Parliamentary Group for Economic Development,"To bring together economic development practitioners, policy makers and local leaders to ensure no parts of the UK economy are left behind.",Subject,Institute of Economic Development,Institute of Economic Development acts as the group's secretariat From 11/03/2019 To 10/03/2020,9001,10500,2019-03-11,2019-03-29
All-Party Parliamentary Group for Education,To promote and stimulate debate across all sectors of education.,Subject,Ranelagh Limited,Secretariat From 17/07/2018 To 16/07/2019,22501,24000,2018-07-17,2019-04-10
All-Party Parliamentary Group on Electric Vehicles,"To engage parliamentarians interested in electric vehicles.  The group will consider issues relating to manufacturing, energy supply, infrastructure requirements, and safety, amongst others. The group will also consider the impacts of automated vehicles, low carbon fuels and other forms of electric mobility.  The APPG will bring together manufacturers, businesses, media, NGOs and experts to share information, promote awareness and debate future policy options.",Subject,Renewable Energy Association,Secretariat From 16/11/2018 To 15/11/2019,12001,13500,2018-11-16,2019-03-06
All-Party Parliamentary Group on Energy Costs,To promote evidence-based discussion on all aspects of energy costs; to inform energy policy decisions and public debate; and to enable communications between interested parties and relevant Parliamentarians.,Subject,Royal Public Affairs,Secretariat From 29/06/2018 To 28/06/2019,16501,18000,2018-06-29,2018-08-10
All-Party Parliamentary Group for Energy Intensive Industries,To provide a forum for MP's and Peers to discuss and learn about issues of concern to the UK's energy intensive industries.,Subject,Energy Intensive Industries,Secretariat From 12/07/2019 To 11/07/2020,1501,3000,2019-07-12,2019-11-05
All-Party Parliamentary Group on Energy Storage,"To engage parliamentarians interested in energy storage technologies and their applications, bringing them together with businesses, NGOs, and experts in the field of energy storage to share information, promote awareness and debate future policy options.",Subject,Renewable Energy Association,Secretariat From 12/09/2018 To 11/09/2019,12001,13500,2018-09-12,2018-12-13
All-Party Parliamentary Group for Energy Studies,"To look at all aspects of energy and help industry, academia and government to work together.",Subject,Alfa Energy Group,Reception held on 26/06/2018,7501,9000,2018-06-26,2018-12-13
All-Party Parliamentary Group for Energy Studies,"To look at all aspects of energy and help industry, academia and government to work together.",Subject,Tamesis Services Ltd,Secretariat From 04/07/2019 To 03/07/2020,58501,60000,2019-07-04,2019-07-16
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Subject,Epilepsy Action,Secretariat From 21/11/2017 To 20/11/2018,1501,3000,2017-11-21,2018-02-22
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Subject,Newington Communications,Secretariat From 12/07/2018 To 11/07/2019,6001,7500,2018-07-12,2018-07-18
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Subject,Open Britain,Media management and research support From 06/07/2018 To 05/07/2019,3001,4500,2018-07-06,2018-09-20
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Subject,Lynch-Pin Associates Ltd,Secretariat From 12/07/2017 To 11/07/2018,13501,15000,2017-07-12,2017-07-26
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Subject,Hogan Lovells LLP,Legal services From 01/09/2018 To 31/08/2019,141001,142500,2018-09-01,2019-01-21
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Subject,Bayer,Met costs of an inquiry (staff time of employee from Royal National Institute of Blind People and a reception),31501,33000,2018-06-06,2018-08-10
All-Party Parliamentary Group on Fair Business Banking,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Subject,FBB Foundation,Secretariat From 03/07/2019 To 02/07/2020,87001,88500,2019-07-03,2019-11-01
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Subject,Fairtrade Foundation,Secretariat From 12/07/2018 To 11/07/2019,3001,4500,2018-07-12,2018-10-18
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Subject,FaithAction,Secretariat From 18/07/2018 To 17/07/2019,3001,4500,2018-07-18,2018-10-08
All-Party Parliamentary Group for Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",Subject,Coram Family and Childcare,Secretariat From 06/09/2018 To 05/09/2019,7501,9000,2018-09-06,2018-01-23
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Subject,Institute for Family Business,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2018-10-23
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Subject,Institute for Family Business,Lunch,1501,3000,2019-06-25,2019-06-28
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Subject,National Society for the Prevention of Cruelty to Children,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2018-11-21
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Subject,Cifas,Secretariat From 25/10/2017 To 24/10/2018,7501,9000,2017-10-25,2017-11-16
All-Party Parliamentary Group on Financial Education for Young People,"To provide a forum for parliamentarians and organisations to discuss the current provision of financial education in schools, further education and higher education, and ensure that all young people - regardless of background - are equipped to make informed financial decisions.",Subject,Young Enterprise,Secretariat From 19/07/2018 To 18/07/2019,9001,10500,2018-07-19,2018-09-17
All-Party Parliamentary Group on Financial Markets and Services,"The APPG is an informal cross-party interest and educational group. It was established to provide parliamentarians with a unique forum for briefings and constructive debate on issues relating to the wholesale financial sector with senior city practitioners, advisors, economists and academics.",Subject,Industry Advisory Group,Secretariat From 18/07/2019 To 17/07/2020 Cost Met Industry Advisory Group acts as the group's secretariat and pays UK Finance to help it fulfil this role,13501,15000,2019-07-18,2019-07-23
All-Party Parliamentary Group on Financial Technology,"To raise awareness in Parliament of the growing importance of Financial Technology (FinTech) to the UK economy, to policy making and to consumers. It aim to promote a regulatory framework that encourages a growing, inclusive and competitive FinTech Industry.",Subject,Nationwide Building Society,Reception held on 15/10/2018,6001,7500,2018-10-15,2019-01-10
All-Party Parliamentary Fisheries Group,To promote and support the UK fishing industry in Parliament.,Subject,Mindfully Wired Communications,Mindfully Wired Communications is paid by The Fishmongers’ Company to act as the group's secretariat From 12/07/2018 To 11/07/2019,28501,30000,2018-07-12,2019-07-11
All-Party Parliamentary Group on a Fit and Healthy Childhood,To promote evidence-based discussion and produce reports on all aspects of childhood health and wellbeing including obesity; to inform policy decisions and public debate relating to childhood; and to enable communications between interested parties and relevant parliamentarians.,Subject,Royal Public Affairs,Secretariat From 29/06/2018 To 28/06/2019,16501,18000,2018-06-29,2018-08-10
All-Party Parliamentary Group for Food and Drink Manufacturing,"To act as the voice of food and drink manufacturing in Parliament. The Group serves to raise the profile of the food and drink industry - the UK's largest manufacturing sector, allowing MPs and Peers to explore issues affecting the industry through a programme of events, topical discussions, and site visits.",Subject,Food and Drink Federation,Secretariat From 10/07/2019 To 09/07/2020,7501,9000,2019-07-10,2019-07-15
All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Subject,Football Association,Secretariat From 13/07/2018 To 12/07/2019,1501,3000,2018-07-13,2018-11-26
All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Subject,iNHouse Communications,Administrative assistance From 13/07/2018 To 12/07/2019,9001,10500,2018-07-13,2019-07-24
All-Party Parliamentary Football Club Group,To play football and raise money for charity.,Subject,INHouse Communications,Pitch hire costs throughout year; also travel and hotel costs.,3001,4500,2018-07-13,2019-07-24
All-Party Parliamentary Group on Forestry,"A successful forestry and wood-processing sector is positive for the economy, environment, biodiversity, recreation and health. But its future is under threat unless urgent action is taken. The sector needs a secure supply of timber and woodlands must be managed responsibly. The APPG will help tackle both of these issues.",Subject,Confor: Promoting Forestry and Wood,Secretariat From 12/09/2018 To 11/09/2019,22501,24000,2018-09-12,2018-12-11
All-Party Parliamentary Group on Formula One,To support the sport and industry of Formula One.,Subject,Oakhill Communications,Secretariat From 05/07/2018 To 04/07/2019,1501,3000,2018-07-05,2019-05-10
All-Party Parliamentary Group on Foster Care Work,"To bring together parliamentarians, foster care workers, and experts to discuss and promote measures to improve the state of fostering in the UK; and to work to raise the profile of both the problem and its solutions in Parliament.",Subject,Independent Workers Union of Great Britain,Secretariat From 25/04/2019 To 24/04/2020,6001,7500,2019-04-25,2019-07-31
All-Party Parliamentary Group on Frozen British Pensions,To bring together parliamentary supporters of the case to unfreeze British state pensions overseas and to campaign for reform.,Subject,Tendo Consulting Ltd,Tendo Consulting Ltd is paid by International Consortium of British Pensioners to act as the group's secretariat From 18/07/2018 To 17/07/2019,10501,12000,2018-07-18,2018-08-28
All-Party Parliamentary Group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against government targets across the UK to eradicate fuel poverty; to advocate policies that deliver affordable warmth for low income and vulnerable households with emphasis on improved domestic energy efficiency and efficient heating systems.,Subject,"NEA (with funding from Northern Gas Networks, SGN, Cadent Gas and Wales & West Utilities",Dinner held on 06/02/2018,10501,12000,2018-02-06,2018-02-12
All-Party Parliamentary Group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against government targets across the UK to eradicate fuel poverty; to advocate policies that deliver affordable warmth for low income and vulnerable households with emphasis on improved domestic energy efficiency and efficient heating systems.,Subject,National Energy Action,Secretariat From 18/07/2018 To 17/07/2019,4501,6000,2018-07-18,2018-11-15
All-Party Parliamentary Group for Funerals and Bereavement,To provide a forum for the discussion of funeral and bereavement issues.,Subject,Brevia Consulting,National Association of Funeral Directors pays Brevia Consulting to act as the group's secretariat From 10/07/2019 To 09/07/2020,25501,27000,2019-07-10,2019-11-05
All-Party Parliamentary Furniture Industry Group,To raise awareness of the furniture industry and to publicise and promote the industry in the UK in order to protect jobs and investment.,Subject,Brevia Consulting,Brevia Consulting is paid by British Furniture Confederation to act as the group's secretariat From 06/09/2018 To 05/09/2019,22501,24000,2018-09-06,2018-12-11
All-Party Parliamentary Group for Future Generations,To raise awareness of long-term issues; to explore ways to internalise longer-term considerations into today's decision making; to create space for cross-party dialogue on combating short-termism in policy making.,Subject,Centre for the Study of Existential Risk,Centre for the Study of Existential Risk is funded by Centre for Effective Altruism to act as the group's secretariat From 18/10/2018 To 17/10/2019,19501,21000,2018-10-18,2019-06-21
All-Party Parliamentary Group for Gambling Related Harm,To address the issues associated with gambling related harm.,Subject,Interel,Secretariat From 28/06/2019 To 27/06/2020,12001,13500,2019-06-28,2019-07-08
All-Party Parliamentary Group on Game and Wildlife Conservation,To provide a forum for discussion of science-based game and wildlife conservation policies in the countryside.,Subject,Game and Wildlife Conservation Trust,Secretariat From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-11-05
All-Party Parliamentary Gardening and Horticulture Group,To promote and facilitate communication and understanding between representatives of the world of gardening and horticulture and Members of both Houses.,Subject,Newington Communications,Secretariat From 07/03/2019 To 06/03/2020,28501,30000,2019-03-07,2019-03-11
All-Party Parliamentary Group for Genetic Haemochromatosis (Iron Overload),"To raise parliamentary awareness and public understanding of Genetic Haemochromatosis (GH), its prevalence and implications.  To drive policy change to improve the welfare of GH patients across the UK.  To influence ministers, parliamentarians, government bodies and NHS representatives to improve patient pathways through the UK healthcare and support systems.",Subject,Haemochromatosis UK,Secretariat From 16/01/2019 To 15/01/2020,3001,4500,2019-01-16,2019-01-23
All-Party Parliamentary Group on Global Education,"To raise greater awareness of the factors affecting education in developing countries, and the government's obligations to help meet international goals for education for all. To work with all parties, international development organisations, education stakeholders (including unions) both nationally and internationally, to help secure a good quality education for all.",Subject,Results UK,Secretariat From 13/09/2018 To 12/09/2019,4501,6000,2018-09-13,2018-09-19
All-Party Parliamentary Group on Global Security and Non-Proliferation,"To encourage discussion and debate, on the basis of expert information and opinion from across the political spectrum, on matters relating to global security and the proliferation of weapons of mass destruction - whether nuclear, chemical or biological.",Subject,British American Security Information Council (BASIC),Polden Puckham Charitable Foundation and Marmot Charitable Trust fund BASIC to act as the group's secretariat. From 13/07/2018 To 12/07/2019,7501,9000,2018-07-13,2018-07-16
All-Party Parliamentary Group for Golf,To support the sport of golf.,Subject,MR Sport,Secretariat From 12/07/2018 To 11/07/2019,19501,21000,2018-07-12,2018-09-07
Greater Manchester All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders - the Mayor and those in local government, the private and voluntary sectors, and social enterprise - to help maximise future investment in the region for the benefit of all the communities of Greater Manchester.",Subject,DevoConnect,Secretariat From 04/07/2018 To 03/07/2019,24001,25500,2018-07-04,2018-11-13
All-Party Parliamentary Greyhound Group,To raise parliamentary awareness of issues relating to the greyhound industry.  To promote the sport and related welfare issues.,Subject,Greyhound Board of Great Britain,Secretariat From 05/07/2017 To 04/07/2018,1501,3000,2017-07-05,2017-07-20
"All-Party Parliamentary Group for Gypsies, Travellers and Roma","To provide a forum for parliamentarians concerned about issues facing Gypsies, Travellers and Roma.",Subject,"Friends, Families and Travellers (funded by the Joseph Rowntree Charitable Trust)",Secretariat From 18/07/2019 To 17/07/2020,19501,21000,2019-07-18,2019-10-24
All-Party Parliamentary Group on Haemophilia and Contaminated Blood,"To promote awareness of, and campaign for, people with haemophilia and other bleeding disorders and people infected with blood-borne viruses due to contaminated blood and blood products used in their healthcare treatment.",Subject,The Haemophilia Society,Secretariat From 12/07/2018 To 11/07/2019,1501,3000,2018-07-12,2018-11-06
"All-Party Parliamentary Group for Hairdressing, Barbering and Cosmetology","To promote the role of qualified, professional hairdressers and barbers, and facilitate an informed debate amongst parliamentarians regarding all aspects of the industry.",Subject,Connect Communications,Secretariat From 12/09/2018 To 11/09/2019,3001,4500,2018-09-12,2018-11-26
All-Party Parliamentary Group on Hajj and Umrah,"To establish facts about the UK Hajj and Umrah sectors; engage the sectors and identify and understand gaps, issues and trends; recommend ways to improve policy and good practice; and give a voice for stakeholders and consumers.",Subject,Council of British Hajjis,Secretariat From 15/03/2019 To 14/03/2020,9001,10500,2019-03-15,2019-04-12
All-Party Parliamentary Health Group,"The APPG is dedicated to disseminating knowledge, generating debate and facilitating engagement with health issues amongst Members of both Houses of Parliament.",Subject,Policy Connect,Secretariat From 12/07/2019 To 11/07/2020,94501,96000,2019-07-12,2019-07-19
All-Party Parliamentary Group on Health in all Policies,To consider the effects of national public policy on the heatlh of UK populations - particularly on health inequalities between different population groups; to provide a discussion forum for parliamentarians; and to act as a source of well-evidenced and independent information on key social and public health issues.,Subject,Public Matters,Secretariat From 13/12/2018 To 12/12/2019,1501,3000,2018-12-13,2019-01-30
All-Party Parliamentary Group for Healthcare Infrastructure,"To raise awareness of the importance of innovation in the physical infrastructure of health services. The group meets throughout the year to explore, discuss and debate key challenges facing the buildings, technology and facilities supporting the NHS and the needs of its patients.",Subject,Assura plc,Secretariat From 11/09/2018 To 10/09/2019,4501,6000,2018-09-11,2018-09-19
All-Party Parliamentary Group for Healthy Homes and Buildings,"To bring together MPs and Peers of all parties together with policy makers, business leaders and industry experts to highlight the health and cost benefits which can be derived from constructing our buildings and homes to the highest levels of comfort, safety and energy efficiency.",Subject,DevoConnect,Secretariat From 04/07/2018 To 03/07/2019,12001,13500,2018-07-04,2018-11-13
All-Party Parliamentary Group on Heart and Circulatory Diseases,"To provide a forum for parliamentarians to work with experts across the health sector, patients and organisations to improve health outcomes for people living with heart and circulatory diseases in the UK.",Subject,British Heart Foundation,Secretariat From 12/07/2018 To 11/07/2019,1501,3000,2018-07-12,2018-11-06
All-Party Parliamentary Group on Heathrow Expansion,"To examine issues relating to the proposed expansion of Heathrow Airport and scrutinise the economic, environmental and social impacts of the proposal.",Subject,No Third Runway Coalition,Secretariat From 18/07/2018 To 17/07/2019,3001,4500,2018-07-18,2018-08-16
All-Party Parliamentary Group for Highways,"To increase Members' knowledge and awareness of issues concerned with the proper provision and maintenance of our highways, with a focus on Local Authority roads.",Subject,Asphalt Industry,Lunches held on 12.03.2019 and 9.07.2019,1501,3000,2019-07-09,2019-07-09
All-Party Parliamentary Group for Highways,"To increase Members' knowledge and awareness of issues concerned with the proper provision and maintenance of our highways, with a focus on Local Authority roads.",Subject,Institute of Highway Engineers,Lunches held on 12.03.2019 and 9.07.2019,1501,3000,2019-07-09,2019-07-09
All-Party Parliamentary Group for Highways,"To increase Members' knowledge and awareness of issues concerned with the proper provision and maintenance of our highways, with a focus on Local Authority roads.",Subject,Mineral Products Association,Mineral Products Association is funded by Asphalt Industry Alliance and the Institute of Highway Engineers to act as the group's secretariat. From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-07-09
All-Party Parliamentary Group for Historic Vehicles,"To encourage interest in, and the promotion and use of, vintage historic and classic vehicles.",Subject,RAC Ltd,Dinner held on 30/10/2018,4501,6000,2018-10-30,2018-12-03
All-Party Parliamentary Group for Home Electrical Safety,To raise parliamentary awareness of issues relating to electrical safety in domestic dwellings and to promote the prevention of accidents with electricity; to provide a forum for parliamentarians to discuss issues pertinent to their constituents on electrical safety; and to hold inquiries into policy issues and provide reports.,Subject,Electrical Safety First,Secretariat From 11/07/2019 To 10/07/2020,3001,4500,2019-07-11,2019-10-30
